gene_symbol	phenotypes
COMP	"Epiphyseal dysplasia, multiple, 1, 132400 (3), Autosomal dominant; Pseudoachondroplasia, 177170 (3), Autosomal dominant"
CERS1	"?Epilepsy, progressive myoclonic, 8, 616230 (3), Autosomal recessive"
GDF1	"Right atrial isomerism (Ivemark), 208530 (3), Autosomal recessive; Congenital heart defects, multiple types, 6, 613854 (3), Autosomal dominant"
SLC25A42	"Metabolic crises, recurrent, with variable encephalomyopathic features and neurologic regression, 618416 (3), Autosomal recessive"
RFXANK	"MHC class II deficiency, complementation group B, 209920 (3), Autosomal recessive"
NDUFA13	"?Mitochondrial complex I deficiency, nuclear type 28, 618249 (3), Autosomal recessive; {Thyroid carcinoma, Hurthle cell}, 607464 (3)"
UQCRFS1	"Mitochondrial complex III deficiency, nuclear type 10, 618775 (3), Autosomal recessive"
C19orf12	"Neurodegeneration with brain iron accumulation 4, 614298 (3), Autosomal recessive, Autosomal dominant; ?Spastic paraplegia 43, autosomal recessive, 615043 (3), Autosomal recessive"
RGS9BP	"Bradyopsia, 608415 (3)"
SLC7A9	"Cystinuria, 220100 (3), Autosomal recessive, Autosomal dominant"
CEBPA	"Leukemia, acute myeloid, somatic, 601626 (3); ?Leukemia, acute myeloid, 601626 (3), Autosomal dominant, Somatic mutation"
PEPD	"Prolidase deficiency, 170100 (3), Autosomal recessive"
CHST8	"?Peeling skin syndrome 3, 616265 (3), Autosomal recessive"
GPI	"Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency, 613470 (3), Autosomal recessive"
SCN1B	"Epileptic encephalopathy, early infantile, 52, 617350 (3), Autosomal recessive; Atrial fibrillation, familial, 13, 615377 (3), Autosomal dominant; Cardiac conduction defect, nonspecific, 612838 (3); Epilepsy, generalized, with febrile seizures plus, type 1, 604233 (3), Autosomal dominant; Brugada syndrome 5, 612838 (3)"
LGI4	"Arthrogryposis multiplex congenita, neurogenic, with myelin defect, 617468 (3), Autosomal recessive"
HAMP	"Hemochromatosis, type 2B, 613313 (3), Autosomal recessive"
MAG	"Spastic paraplegia 75, autosomal recessive, 616680 (3), Autosomal recessive"
COX6B1	"Mitochondrial complex IV deficiency, 220110 (3), Mitochondrial, Autosomal recessive"
KMT2B	"Dystonia 28, childhood-onset, 617284 (3), Autosomal dominant"
PSENEN	"Acne inversa, familial, 2, with or without Dowling-Degos disease, 613736 (3), Autosomal dominant"
NPHS1	"Nephrotic syndrome, type 1, 256300 (3), Autosomal recessive"
TYROBP	"Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 1, 221770 (3), Autosomal recessive"
SDHAF1	"Mitochondrial complex II deficiency, 252011 (3), Autosomal recessive"
SYNE4	"Deafness, autosomal recessive 76, 615540 (3), Autosomal recessive"
WDR62	"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations, 604317 (3), Autosomal recessive"
SIPA1L3	"?Cataract 45, 616851 (3), Autosomal recessive"
SPINT2	"Diarrhea 3, secretory sodium, congenital, syndromic, 270420 (3), Autosomal recessive"
RYR1	"Central core disease, 117000 (3), Autosomal recessive, Autosomal dominant; King-Denborough syndrome, 145600 (3), Autosomal dominant; {Malignant hyperthermia susceptibility 1}, 145600 (3), Autosomal dominant; Minicore myopathy with external ophthalmoplegia, 255320 (3), Autosomal recessive; Neuromuscular disease, congenital, with uniform type 1 fiber, 117000 (3), Autosomal recessive, Autosomal dominant"
ACTN4	"Glomerulosclerosis, focal segmental, 1, 603278 (3), Autosomal dominant"
SARS2	"Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis, 613845 (3), Autosomal recessive"
IFNL3	"{Hepatitis C virus infection, response to therapy of}, 609532 (3)"
PLEKHG2	"Leukodystrophy and acquired microcephaly with or without dystonia, 616763 (3), Autosomal recessive"
TIMM50	"3-methylglutaconic aciduria, type IX, 617698 (3), Autosomal recessive"
DLL3	"Spondylocostal dysostosis 1, autosomal recessive, 277300 (3), Autosomal recessive"
DYRK1B	"Abdominal obesity-metabolic syndrome 3, 615812 (3), Autosomal dominant"
AKT2	"Hypoinsulinemic hypoglycemia with hemihypertrophy, 240900 (3), Autosomal dominant; Diabetes mellitus, type II, 125853 (3), Autosomal dominant"
PLD3	"?Spinocerebellar ataxia 46, 617770 (3), Autosomal dominant"
PRX	"Charcot-Marie-Tooth disease, type 4F, 614895 (3), Autosomal recessive; Dejerine-Sottas disease, 145900 (3), Autosomal recessive, Autosomal dominant"
SPTBN4	"Neurodevelopmental disorder with hypotonia, neuropathy, and deafness, 617519 (3), Autosomal recessive"
LTBP4	"Cutis laxa, autosomal recessive, type IC, 613177 (3), Autosomal recessive"
COQ8B	"Nephrotic syndrome, type 9, 615573 (3), Autosomal recessive"
ITPKC	"{Kawasaki disease, susceptibility to}, 611775 (3)"
CYP2A6	"Coumarin resistance, 122700 (3), Autosomal dominant; {Lung cancer, resistance to}, 211980 (3), Autosomal dominant, Somatic mutation; {Nicotine addiction, protection from}, 188890 (3)"
CYP2B6	"{Efavirenz central nervous system toxicity, susceptibility to}, 614546 (3); Efavirenz, poor metabolism of, 614546 (3)"
TGFB1	"{Cystic fibrosis lung disease, modifier of}, 219700 (3), Autosomal recessive; Camurati-Engelmann disease, 131300 (3), Autosomal dominant; Inflammatory bowel disease, immunodeficiency, and encephalopathy, 618213 (3), Autosomal recessive"
B9D2	"Joubert syndrome 34, 614175 (3), Autosomal recessive; ?Meckel syndrome 10, 614175 (3), Autosomal recessive"
BCKDHA	"Maple syrup urine disease, type Ia, 248600 (3), Autosomal recessive"
RPS19	"Diamond-Blackfan anemia 1, 105650 (3), Autosomal dominant"
CD79A	"Agammaglobulinemia 3, 613501 (3), Autosomal recessive"
ARHGEF1	"?Immunodeficiency 62, 618459 (3), Autosomal recessive"
ATP1A3	"CAPOS syndrome, 601338 (3), Autosomal dominant; Alternating hemiplegia of childhood 2, 614820 (3), Autosomal dominant; Dystonia-12, 128235 (3), Autosomal dominant"
ERF	"Craniosynostosis 4, 600775 (3), Autosomal dominant; Chitayat syndrome, 617180 (3), Autosomal dominant"
CIC	"Mental retardation, autosomal dominant 45, 617600 (3), Autosomal dominant"
MEGF8	"Carpenter syndrome 2, 614976 (3), Autosomal recessive"
LIPE	"Lipodystrophy, familial partial, type 6, 615980 (3), Autosomal recessive"
ETHE1	"Ethylmalonic encephalopathy, 602473 (3), Autosomal recessive"
XRCC1	"?Spinocerebellar ataxia, autosomal recessive 26, 617633 (3), Autosomal recessive"
SMG9	"Heart and brain malformation syndrome, 616920 (3), Autosomal recessive"
KCNN4	"Dehydrated hereditary stomatocytosis 2, 616689 (3), Autosomal dominant"
CEACAM16	"Deafness, autosomal recessive 113, 618410 (3), Autosomal recessive; Deafness, autosomal dominant 4B, 614614 (3), Autosomal dominant"
BCL3	"Leukemia/lymphoma, B-cell, 3, 109560 (2)"
BCAM	"[Blood group, Lutheran null], 247420 (3), Autosomal recessive; [Blood group, Lutheran system], 111200 (3); [Blood group, Auberger system], 111200 (3)"
APOE	"Hyperlipoproteinemia, type III, 617347 (3); {Coronary artery disease, severe, susceptibility to}, 617347 (3); {?Alzheimer disease, protection against, due to APOE3-Christchurch}, 607822 (3), Autosomal dominant; Lipoprotein glomerulopathy, 611771 (3); Sea-blue histiocyte disease, 269600 (3), Autosomal recessive; {?Macular degeneration, age-related}, 603075 (3), Autosomal dominant; Alzheimer disease 2, 104310 (3), Autosomal dominant"
APOC2	"Hyperlipoproteinemia, type Ib, 207750 (3), Autosomal recessive"
RELB	"?Immunodeficiency 53, 617585 (3), Autosomal recessive"
BLOC1S3	"Hermansky-Pudlak syndrome 8, 614077 (3), Autosomal recessive"
ERCC2	"Trichothiodystrophy 1, photosensitive, 601675 (3), Autosomal recessive; ?Cerebrooculofacioskeletal syndrome 2, 610756 (3), Autosomal recessive; Xeroderma pigmentosum, group D, 278730 (3), Autosomal recessive"
ERCC1	"Cerebrooculofacioskeletal syndrome 4, 610758 (3), Autosomal recessive"
RTN2	"Spastic paraplegia 12, autosomal dominant, 604805 (3), Autosomal dominant"
OPA3	"3-methylglutaconic aciduria, type III, 258501 (3), Autosomal recessive; Optic atrophy 3 with cataract, 165300 (3), Autosomal dominant"
SIX5	"Branchiootorenal syndrome 2, 610896 (3)"
DMPK	"Myotonic dystrophy 1, 160900 (3), Autosomal dominant"
NOVA2	"Neurodevelopmental disorder with or without autistic features and/or structural brain abnormalities, 618859 (3)"
CCDC8	"3-M syndrome 3, 614205 (3), Autosomal recessive"
CALM3	"Long QT syndrome 16, 618782 (3), Autosomal dominant; ?Ventricular tachycardia, catecholaminergic polymorphic 6, 618782 (3), Autosomal dominant"
FKRP	"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5, 607155 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5, 606612 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5, 613153 (3), Autosomal recessive"
AP2S1	"Hypocalciuric hypercalcemia, type III, 600740 (3), Autosomal dominant"
KPTN	"Mental retardation, autosomal recessive 41, 615637 (3), Autosomal recessive"
CRX	"Cone-rod retinal dystrophy-2, 120970 (3), Autosomal dominant; Leber congenital amaurosis 7, 613829 (3)"
CCDC114	"Ciliary dyskinesia, primary, 20, 615067 (3), Autosomal recessive"
GRIN2D	"Epileptic encephalopathy, early infantile, 46, 617162 (3), Autosomal dominant"
SULT2B1	"Ichthyosis, congenital, autosomal recessive 14, 617571 (3), Autosomal recessive"
RPL18	"?Diamond-Blackfan anemia 18, 618310 (3), Autosomal dominant"
FUT2	"{Vitamin B12 plasma level QTL1}, 612542 (3); [Bombay phenotype, digenic], 616754 (3), Autosomal recessive; {Norwalk virus infection, resistance to} (3)"
FUT1	"[Bombay phenotype], 616754 (3), Autosomal recessive"
BCAT2	"?Hypervalinemia or hyperleucine-isoleucinemia, 618850 (3), Autosomal recessive"
BAX	"T-cell acute lymphoblastic leukemia, somatic, 613065 (3); Colorectal cancer, somatic, 114500 (3)"
FTL	"Hyperferritinemia-cataract syndrome, 600886 (3), Autosomal dominant; Neurodegeneration with brain iron accumulation 3, 606159 (3), Autosomal dominant; L-ferritin deficiency, dominant and recessive, 615604 (3), Autosomal recessive, Autosomal dominant"
GYS1	"Glycogen storage disease 0, muscle, 611556 (3), Autosomal recessive"
LHB	"Hypogonadotropic hypogonadism 23 with or without anosmia, 228300 (3), Autosomal recessive"
NTF4	"Glaucoma 1, open angle, 1O, 613100 (3)"
TRPM4	"Erythrokeratodermia veriabilis et progressiva 6, 618531 (3), Autosomal dominant; Progressive familial heart block, type IB, 604559 (3), Autosomal dominant"
IRF3	"{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 7}, 616532 (3), Autosomal dominant"
CPT1C	"?Spastic paraplegia 73, autosomal dominant, 616282 (3), Autosomal dominant"
FUZ	"{Neural tube defects, susceptibility to}, 182940 (3), Autosomal dominant"
MED25	"?Charcot-Marie-Tooth disease, type 2B2, 605589 (3), Autosomal recessive; Basel-Vanagait-Smirin-Yosef syndrome, 616449 (3), Autosomal recessive"
PNKP	"Microcephaly, seizures, and developmental delay, 613402 (3), Autosomal recessive; Ataxia-oculomotor apraxia 4, 616267 (3), Autosomal recessive"
NUP62	"Striatonigral degeneration, infantile, 271930 (3), Autosomal recessive"
MYH14	"?Peripheral neuropathy, myopathy, hoarseness, and hearing loss, 614369 (3), Autosomal dominant; Deafness, autosomal dominant 4A, 600652 (3), Autosomal dominant"
KCNC3	"Spinocerebellar ataxia 13, 605259 (3), Autosomal dominant"
POLD1	"Mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome, 615381 (3), Autosomal dominant; {Colorectal cancer, susceptibility to, 10}, 612591 (3), Autosomal dominant"
ACP4	"Amelogenesis imperfecta, type IJ, 617297 (3), Autosomal recessive"
KLK1	"[Kallikrein, decreased urinary activity of], 615953 (3)"
KLK4	"Amelogenesis imperfecta, type IIA1, 204700 (3), Autosomal recessive"
ETFB	"Glutaric acidemia IIB, 231680 (3), Autosomal recessive"
LIM2	"Cataract 19, multiple types, 615277 (3), Autosomal recessive"
PPP2R1A	"Mental retardation, autosomal dominant 36, 616362 (3), Autosomal dominant"
NLRP12	"Familial cold autoinflammatory syndrome 2, 611762 (3), Autosomal dominant"
PRKCG	"Spinocerebellar ataxia 14, 605361 (3), Autosomal dominant"
PRPF31	"Retinitis pigmentosa 11, 600138 (3), Autosomal dominant"
CNOT3	"Intellectual developmental disorder with speech delay, autism, and dysmorphic facies, 618672 (3), Autosomal dominant"
MBOAT7	"Mental retardation, autosomal recessive 57, 617188 (3), Autosomal recessive"
TSEN34	"?Pontocerebellar hypoplasia type 2C, 612390 (3), Autosomal recessive"
KIR3DL1	"{AIDS, delayed/rapid progression to}, 609423 (3)"
NLRP7	"Hydatidiform mole, recurrent, 1, 231090 (3), Autosomal recessive"
GP6	"Bleeding disorder, platelet-type, 11, 614201 (3), Autosomal recessive"
TNNT1	"Nemaline myopathy 5, Amish type, 605355 (3), Autosomal recessive"
TNNI3	"Cardiomyopathy, hypertrophic, 7, 613690 (3), Autosomal dominant; ?Cardiomyopathy, dilated, 2A, 611880 (3), Autosomal recessive; Cardiomyopathy, dilated, 1FF, 613286 (3); Cardiomyopathy, familial restrictive, 1, 115210 (3), Autosomal dominant"
DNAAF3	"Ciliary dyskinesia, primary, 2, 606763 (3), Autosomal recessive"
AURKC	"Spermatogenic failure 5, 243060 (3), Autosomal recessive"
RBCK1	"Polyglucosan body myopathy 1 with or without immunodeficiency, 615895 (3), Autosomal recessive"
TBC1D20	"Warburg micro syndrome 4, 615663 (3), Autosomal recessive"
CSNK2A1	"Okur-Chung neurodevelopmental syndrome, 617062 (3), Autosomal dominant"
SLC52A3	"Brown-Vialetto-Van Laere syndrome 1, 211530 (3), Autosomal recessive; ?Fazio-Londe disease, 211500 (3), Autosomal recessive"
RSPO4	"Anonychia congenita, 206800 (3), Autosomal recessive"
PDYN	"Spinocerebellar ataxia 23, 610245 (3), Autosomal dominant"
TGM3	"?Uncombable hair syndrome 2, 617251 (3), Autosomal recessive"
TGM6	"Spinocerebellar ataxia 35, 613908 (3), Autosomal dominant"
SNRPB	"Cerebrocostomandibular syndrome, 117650 (3), Autosomal dominant"
NOP56	"Spinocerebellar ataxia 36, 614153 (3), Autosomal dominant"
IDH3B	"Retinitis pigmentosa 46, 612572 (3)"
AVP	"Diabetes insipidus, neurohypophyseal, 125700 (3), Autosomal dominant"
DDRGK1	"Spondyloepimetaphyseal dysplasia, Shohat type, 602557 (3), Autosomal recessive"
ITPA	"[Inosine triphosphatase deficiency], 613850 (3); Epileptic encephalopathy, early infantile, 35, 616647 (3), Autosomal recessive"
SLC4A11	"Corneal endothelial dystrophy, autosomal recessive, 217700 (3), Autosomal recessive; Corneal dystrophy, Fuchs endothelial, 4, 613268 (3); Corneal endothelial dystrophy and perceptive deafness, 217400 (3), Autosomal recessive"
PANK2	"HARP syndrome, 607236 (3), Autosomal recessive; Neurodegeneration with brain iron accumulation 1, 234200 (3), Autosomal recessive"
PRNP	"Insomnia, fatal familial, 600072 (3), Autosomal dominant; {Kuru, susceptibility to}, 245300 (3); Huntington disease-like 1, 603218 (3), Autosomal dominant; Prion disease with protracted course, 606688 (3), Autosomal dominant; Cerebral amyloid angiopathy, PRNP-related, 137440 (3), Autosomal dominant; Creutzfeldt-Jakob disease, 123400 (3), Autosomal dominant; Gerstmann-Straussler disease, 137440 (3), Autosomal dominant"
PCNA	"?Ataxia-telangiectasia-like disorder 2, 615919 (3), Autosomal recessive"
PROKR2	"Hypogonadotropic hypogonadism 3 with or without anosmia, 244200 (3), Autosomal dominant"
MCM8	"?Premature ovarian failure 10, 612885 (3), Autosomal recessive"
FERMT1	"Kindler syndrome, 173650 (3), Autosomal recessive"
BMP2	"Brachydactyly, type A2, 112600 (3), Autosomal dominant; Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies, 617877 (3), Autosomal dominant; {HFE hemochromatosis, modifier of}, 235200 (3), Autosomal recessive"
PLCB1	"Epileptic encephalopathy, early infantile, 12, 613722 (3), Autosomal recessive"
PLCB4	"Auriculocondylar syndrome 2, 614669 (3), Autosomal recessive, Autosomal dominant"
SNAP25	"?Myasthenic syndrome, congenital, 18, 616330 (3), Autosomal dominant"
MKKS	"Bardet-Biedl syndrome 6, 605231 (3), Autosomal recessive; McKusick-Kaufman syndrome, 236700 (3), Autosomal recessive"
JAG1	"?Deafness, congenital heart defects, and posterior embryotoxon, 617992 (3); Alagille syndrome 1, 118450 (3), Autosomal dominant; Tetralogy of Fallot, 187500 (3), Autosomal dominant"
NDUFAF5	"Mitochondrial complex I deficiency, nuclear type 16, 618238 (3), Autosomal recessive"
FLRT3	"Hypogonadotropic hypogonadism 21 with anosmia, 615271 (3), Autosomal dominant"
BFSP1	"Cataract 33, multiple types, 611391 (3), Autosomal recessive, Autosomal dominant"
MGME1	"Mitochondrial DNA depletion syndrome 11, 615084 (3), Autosomal recessive"
OVOL2	"Corneal dystrophy, posterior polymorphous, 1, 122000 (3), Autosomal dominant"
SEC23B	"?Cowden syndrome 7, 616858 (3), Autosomal dominant; Dyserythropoietic anemia, congenital, type II, 224100 (3), Autosomal recessive"
RIN2	"Macrocephaly, alopecia, cutis laxa, and scoliosis, 613075 (3), Autosomal recessive"
KIZ	"Retinitis pigmentosa 69, 615780 (3), Autosomal recessive"
PAX1	"Otofaciocervical syndrome 2, 615560 (3), Autosomal recessive"
THBD	"Thrombophilia due to thrombomodulin defect, 614486 (3); {Hemolytic uremic syndrome, atypical, susceptibility to, 6}, 612926 (3), Autosomal dominant"
GZF1	"Joint laxity, short stature, and myopia, 617662 (3), Autosomal recessive"
CST3	"Cerebral amyloid angiopathy, 105150 (3), Autosomal dominant; {Macular degeneration, age-related, 11}, 611953 (3)"
VSX1	"Keratoconus 1, 148300 (3), Autosomal dominant; ?Craniofacial anomalies and anterior segment dysgenesis syndrome, 614195 (3)"
ABHD12	"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674 (3), Autosomal recessive"
GINS1	"Immunodeficiency 55, 617827 (3), Autosomal recessive"
COX4I2	"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis, 612714 (3), Autosomal recessive"
MYLK2	"Cardiomyopathy, hypertrophic, 1, digenic, 192600 (3), Autosomal dominant, Digenic dominant"
POFUT1	"Dowling-Degos disease 2, 615327 (3), Autosomal dominant"
ASXL1	"Bohring-Opitz syndrome, 605039 (3), Autosomal dominant; Myelodysplastic syndrome, somatic, 614286 (3)"
DNMT3B	"Immunodeficiency-centromeric instability-facial anomalies syndrome 1, 242860 (3), Autosomal recessive"
SUN5	"Spermatogenic failure 16, 617187 (3), Autosomal recessive"
SNTA1	"Long QT syndrome 12, 612955 (3), Autosomal dominant"
ZNF341	"Hyper-IgE recurrent infection syndrome 3, autosomal recessive, 618282 (3), Autosomal recessive"
CHMP4B	"Cataract 31, multiple types, 605387 (3), Autosomal dominant"
ASIP	"[Skin/hair/eye pigmentation 9, brown/nonbrown eyes], 611742 (3); [Skin/hair/eye pigmentation 9, dark/light hair], 611742 (3)"
AHCY	"Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase, 613752 (3), Autosomal recessive"
ITCH	"Autoimmune disease, multisystem, with facial dysmorphism, 613385 (3), Autosomal recessive"
PIGU	"Glycosylphosphatidylinositol biosynthesis defect 21, 618590 (3), Autosomal recessive"
GSS	"Glutathione synthetase deficiency, 266130 (3), Autosomal recessive; Hemolytic anemia due to glutathione synthetase deficiency, 231900 (3), Autosomal recessive"
GDF5	"?Acromesomelic dysplasia, Hunter-Thompson type, 201250 (3), Autosomal recessive; Symphalangism, proximal, 1B, 615298 (3), Autosomal dominant; Brachydactyly, type A1, C, 615072 (3), Autosomal recessive, Autosomal dominant; Chondrodysplasia, Grebe type, 200700 (3), Autosomal recessive; Brachydactyly, type A2, 112600 (3), Autosomal dominant; Du Pan syndrome, 228900 (3), Autosomal recessive; {Osteoarthritis-5}, 612400 (3); Brachydactyly, type C, 113100 (3), Autosomal dominant; Multiple synostoses syndrome 2, 610017 (3), Autosomal dominant"
CEP250	"Cone-rod dystrophy and hearing loss 2, 618358 (3), Autosomal recessive"
RBM12	"{Schizophrenia 19, susceptibility to}, 617629 (3), Autosomal dominant"
EPB41L1	"?Mental retardation, autosomal dominant 11, 614257 (3), Autosomal dominant"
SAMHD1	"?Chilblain lupus 2, 614415 (3), Autosomal dominant; Aicardi-Goutieres syndrome 5, 612952 (3), Autosomal recessive"
GHRH	?Isolated growth hormone deficiency due to defect in GHRF (1); Gigantism due to GHRF hypersecretion (1)
SRC	"Colon cancer, advanced, somatic, 114500 (3); ?Thrombocytopenia 6, 616937 (3), Autosomal dominant"
MAFB	"Duane retraction syndrome 3, 617041 (3), Autosomal dominant; Multicentric carpotarsal osteolysis syndrome, 166300 (3), Autosomal dominant"
TOP1	"DNA topoisomerase I, camptothecin-resistant (3)"
IFT52	"Short-rib thoracic dysplasia 16 with or without polydactyly, 617102 (3), Autosomal recessive"
JPH2	"Cardiomyopathy, hypertrophic, 17, 613873 (3), Autosomal dominant"
FITM2	"Siddiqi syndrome, 618635 (3), Autosomal recessive"
HNF4A	"{Diabetes mellitus, noninsulin-dependent}, 125853 (3), Autosomal dominant; MODY, type I, 125850 (3), Autosomal dominant; Fanconi renotubular syndrome 4, with maturity-onset diabetes of the young, 616026 (3), Autosomal dominant"
ADA	"Adenosine deaminase deficiency, partial, 102700 (3), Autosomal recessive, Somatic mosaicism; Severe combined immunodeficiency due to ADA deficiency, 102700 (3), Autosomal recessive, Somatic mosaicism"
STK4	"T-cell immunodeficiency, recurrent infections, autoimmunity, and cardiac malformations, 614868 (3)"
PIGT	"Multiple congenital anomalies-hypotonia-seizures syndrome 3, 615398 (3), Autosomal recessive; ?Paroxysmal nocturnal hemoglobinuria 2, 615399 (3), Autosomal dominant, Somatic mutation"
CTSA	"Galactosialidosis, 256540 (3), Autosomal recessive"
PLTP	[High density lipoprotein cholesterol level QTL 9] (3)
ZNF335	"Microcephaly 10, primary, autosomal recessive, 615095 (3), Autosomal recessive"
MMP9	"Metaphyseal anadysplasia 2, 613073 (3)"
SLC12A5	"Epileptic encephalopathy, early infantile, 34, 616645 (3), Autosomal recessive; {Epilepsy, idiopathic generalized, susceptibility to, 14}, 616685 (3), Autosomal dominant"
CD40	"Immunodeficiency with hyper-IgM, type 3, 606843 (3), Autosomal recessive"
ELMO2	"Vascular malformation, primary intraosseous, 606893 (3), Autosomal recessive"
SLC13A3	"Leukoencephalopathy, acute reversible, with increased urinary alpha-ketoglutarate, 618384 (3), Autosomal recessive"
TP53RK	"Galloway-Mowat syndrome 4, 617730 (3), Autosomal recessive"
SLC2A10	"Arterial tortuosity syndrome, 208050 (3), Autosomal recessive"
ARFGEF2	"Periventricular heterotopia with microcephaly, 608097 (3), Autosomal recessive"
KCNB1	"Epileptic encephalopathy, early infantile, 26, 616056 (3), Autosomal dominant"
PTGIS	"Hypertension, essential, 145500 (3), Multifactorial"
PTPN1	"{Insulin resistance, susceptibility to}, 125853 (3), Autosomal dominant"
ADNP	"Helsmoortel-van der Aa syndrome, 615873 (3), Autosomal dominant"
DPM1	"Congenital disorder of glycosylation, type Ie, 608799 (3), Autosomal recessive"
SALL4	"Duane-radial ray syndrome, 607323 (3), Autosomal dominant; IVIC syndrome, 147750 (3), Autosomal dominant"
CYP24A1	"Hypercalcemia, infantile, 1, 143880 (3), Autosomal recessive"
MC3R	"{Obesity, severe, susceptibility to, BMIQ9}, 602025 (3)"
AURKA	"{Colon cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation"
PCK1	"?Phosphoenolpyruvate carboxykinase deficiency, cytosolic, 261680 (3), Autosomal recessive"
VAPB	"Spinal muscular atrophy, late-onset, Finkel type, 182980 (3), Autosomal dominant; Amyotrophic lateral sclerosis 8, 608627 (3), Autosomal dominant"
STX16	"Pseudohypoparathyroidism, type IB, 603233 (3), Autosomal dominant"
GNAS-AS1	"Pseudohypoparathyroidism, type IB, 603233 (3), Autosomal dominant"
GNAS	"ACTH-independent macronodular adrenal hyperplasia, 219080 (3), Somatic mutation; Pseudohypoparathyroidism Ic, 612462 (3), Autosomal dominant; Pseudohypoparathyroidism Ib, 603233 (3), Autosomal dominant; Pseudopseudohypoparathyroidism, 612463 (3), Autosomal dominant; McCune-Albright syndrome, somatic, mosaic, 174800 (3); Osseous heteroplasia, progressive, 166350 (3), Autosomal dominant; Pituitary adenoma 3, multiple types, somatic, 617686 (3); Pseudohypoparathyroidism Ia, 103580 (3), Autosomal dominant"
TUBB1	"Macrothrombocytopenia, autosomal dominant, TUBB1-related, 613112 (3), Autosomal dominant"
ATP5F1E	"?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3, 614053 (3)"
EDN3	"Waardenburg syndrome, type 4B, 613265 (3), Autosomal recessive, Autosomal dominant; Central hypoventilation syndrome, congenital, 209880 (3), Autosomal dominant; {Hirschsprung disease, susceptibility to, 4}, 613712 (3), Autosomal dominant"
SYCP2	"Spermatogenic failure 1, 258150 (3), Autosomal recessive"
OSBPL2	"Deafness, autosomal dominant 67, 616340 (3), Autosomal dominant"
GATA5	"Congenital heart defects, multiple types, 5, 617912 (3), Autosomal recessive, Autosomal dominant"
COL9A3	"Epiphyseal dysplasia, multiple, 3, with or without myopathy, 600969 (3), Autosomal dominant; {Intervertebral disc disease, susceptibility to}, 603932 (3)"
SLC17A9	"Porokeratosis 8, disseminated superficial actinic type, 616063 (3), Autosomal dominant"
CHRNA4	"Epilepsy, nocturnal frontal lobe, 1, 600513 (3), Autosomal dominant; {Nicotine addiction, susceptibility to}, 188890 (3)"
KCNQ2	"Epileptic encephalopathy, early infantile, 7, 613720 (3), Autosomal dominant; Seizures, benign neonatal, 1, 121200 (3), Autosomal dominant; Myokymia, 121200 (3), Autosomal dominant"
EEF1A2	"Epileptic encephalopathy, early infantile, 33, 616409 (3), Autosomal dominant; Mental retardation, autosomal dominant 38, 616393 (3), Autosomal dominant"
RTEL1	"Dyskeratosis congenita, autosomal recessive 5, 615190 (3), Autosomal recessive, Autosomal dominant; Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3, 616373 (3), Autosomal dominant; Dyskeratosis congenita, autosomal dominant 4, 615190 (3), Autosomal recessive, Autosomal dominant"
DNAJC5	"Ceroid lipofuscinosis, neuronal, 4, Parry type, 162350 (3), Autosomal dominant"
PRPF6	"Retinitis pigmentosa 60, 613983 (3), Autosomal dominant"
SOX18	"Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome, 137940 (3), Autosomal dominant; Hypotrichosis-lymphedema-telangiectasia syndrome, 607823 (3), Autosomal recessive"
NRIP1	"?Congenital anomalies of kidney and urinary tract 3, 618270 (3), Autosomal dominant"
TMPRSS15	"Enterokinase deficiency, 226200 (3), Autosomal recessive"
JAM2	"Basal ganglia calcification, idiopathic, 8, autosomal recessive, 618824 (3), Autosomal recessive"
APP	"Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants, 605714 (3), Autosomal dominant; Alzheimer disease 1, familial, 104300 (3), Autosomal dominant"
SOD1	"Spastic tetraplegia and axial hypotonia, progressive, 618598 (3), Autosomal recessive; Amyotrophic lateral sclerosis 1, 105400 (3), Autosomal recessive, Autosomal dominant"
MRAP	"Glucocorticoid deficiency 2, 607398 (3), Autosomal recessive"
CFAP298	"Ciliary dyskinesia, primary, 26, 615500 (3), Autosomal recessive"
SYNJ1	"Epileptic encephalopathy, early infantile, 53, 617389 (3), Autosomal recessive; Parkinson disease 20, early-onset, 615530 (3), Autosomal recessive"
